Date,Time,Open,High,Low,Close,Volume
2015.11.05,00:00,12081,12115,12077,12111,4042
2015.11.06,00:00,12111,12219,12104,12207,4069
2015.11.09,00:00,12210,12218,12183,12193,3680
2015.11.10,00:00,12192,12219,12188,12201,3792
2015.11.11,00:00,12201,12204,12168,12171,3692
2015.11.12,00:00,12170,12175,12133,12135,4632
2015.11.13,00:00,12135,12166,12128,12145,4013
2015.11.16,00:00,12146,12185,12145,12179,3679
2015.11.17,00:00,12179,12201,12167,12186,3740
2015.11.18,00:00,12186,12205,12169,12182,3654
2015.11.19,00:00,12181,12185,12108,12128,4272
2015.11.20,00:00,12128,12153,12124,12150,3900
2015.11.23,00:00,12151,12188,12151,12174,3792
2015.11.24,00:00,12172,12178,12154,12159,3735
2015.11.25,00:00,12158,12185,12139,12159,4151
2015.11.26,00:00,12158,12180,12156,12170,2946
2015.11.27,00:00,12169,12198,12165,12195,3200
2015.11.30,00:00,12196,12210,12186,12193,3413
2015.12.01,00:00,12192,12196,12146,12149,3887
2015.12.02,00:00,12149,12212,12147,12182,3949
2015.12.03,00:00,12181,12201,12060,12074,5228
2015.12.04,00:00,12073,12123,12064,12098,5036
2015.12.07,00:00,12100,12140,12097,12135,3853
2015.12.08,00:00,12135,12157,12131,12139,4027
2015.12.09,00:00,12139,12141,12057,12063,4488
2015.12.10,00:00,12062,12077,12040,12071,4440
2015.12.11,00:00,12071,12096,12055,12063,4282
2015.12.14,00:00,12064,12086,12046,12067,4658
2015.12.15,00:00,12065,12126,12040,12115,4652
2015.12.16,00:00,12114,12147,12069,12123,5135
2015.12.17,00:00,12123,12206,12118,12185,4911
2015.12.18,00:00,12185,12202,12141,12151,5185
2015.12.21,00:00,12149,12160,12131,12137,3896
2015.12.22,00:00,12137,12141,12112,12126,3538
2015.12.23,00:00,12125,12141,12119,12126,3041
2015.12.24,00:00,12125,12129,12087,12091,2653
2015.12.28,00:00,12090,12103,12084,12103,2816
2015.12.29,00:00,12102,12122,12088,12111,2711
2015.12.30,00:00,12111,12121,12103,12112,3192
2015.12.31,00:00,12111,12143,12099,12133,2600
2016.01.04,00:00,12130,12180,12110,12155,4947
2016.01.05,00:00,12155,12200,12148,12179,3949
2016.01.06,00:00,12178,12214,12170,12194,4960
2016.01.07,00:00,12193,12205,12167,12171,5279
2016.01.08,00:00,12171,12222,12168,12197,5270
2016.01.11,00:00,12189,12205,12180,12201,4626
2016.01.12,00:00,12201,12245,12197,12218,4223
2016.01.13,00:00,12218,12234,12216,12228,4306
2016.01.14,00:00,12227,12244,12216,12228,4824
2016.01.15,00:00,12227,12261,12222,12256,4977
2016.01.18,00:00,12253,12271,12248,12268,3681
2016.01.19,00:00,12267,12281,12252,12274,4339
2016.01.20,00:00,12273,12278,12253,12262,5020
2016.01.21,00:00,12261,12299,12234,12249,5330
2016.01.22,00:00,12249,12273,12238,12271,4262
2016.01.25,00:00,12268,12277,12254,12268,3877
2016.01.26,00:00,12268,12280,12236,12238,4115
2016.01.27,00:00,12237,12253,12217,12250,4570
2016.01.28,00:00,12250,12252,12197,12209,4350
2016.01.29,00:00,12208,12306,12203,12280,5486
2016.02.01,00:00,12281,12294,12228,12230,4384
2016.02.02,00:00,12230,12254,12224,12232,4298
2016.02.03,00:00,12233,12240,12076,12106,5624
2016.02.04,00:00,12105,12121,12040,12064,5927
2016.02.05,00:00,12063,12135,12046,12120,5435
2016.02.08,00:00,12123,12156,12094,12106,5334
2016.02.09,00:00,12105,12121,12052,12073,6439
2016.02.10,00:00,12073,12091,12022,12031,6339
2016.02.11,00:00,12032,12052,12001,12015,7097
2016.02.12,00:00,12016,12056,12005,12041,6182
2016.02.15,00:00,12040,12089,12034,12080,4285
2016.02.16,00:00,12079,12112,12048,12102,5039
2016.02.17,00:00,12101,12121,12081,12089,5226
2016.02.18,00:00,12089,12108,12078,12079,4938
2016.02.19,00:00,12079,12118,12057,12058,5083
2016.02.22,00:00,12078,12131,12074,12101,4695
2016.02.23,00:00,12101,12120,12082,12117,5051
2016.02.24,00:00,12117,12159,12113,12136,5394
2016.02.25,00:00,12136,12153,12120,12133,5132
2016.02.26,00:00,12132,12212,12113,12206,4959
2016.02.29,00:00,12211,12214,12176,12186,4936
2016.03.01,00:00,12186,12211,12168,12193,5093
2016.03.02,00:00,12193,12198,12131,12136,4925
2016.03.03,00:00,12135,12148,12079,12092,4704
2016.03.04,00:00,12092,12112,12044,12056,5177
2016.03.07,00:00,12069,12090,12030,12036,4322
2016.03.08,00:00,12035,12049,12025,12039,4653
2016.03.09,00:00,12038,12057,12016,12040,4603
2016.03.10,00:00,12040,12111,11988,12001,5952
2016.03.11,00:00,12000,12021,11952,11973,5369
2016.03.14,00:00,11982,12019,11964,12007,4434
2016.03.15,00:00,12007,12041,12007,12034,4666
2016.03.16,00:00,12034,12077,11954,11961,5197
